"year","sex","age_group","cases","population","type"
2016,"Male","25_29",114484,11631474,"chlamydia"
2016,"Male","30_34",3806,10968264,"primary and secondary syphilis"
2016,"Male","35_44",37860,20152763,"gonorrhea"
2016,"Male","15_19",957,10801846,"primary and secondary syphilis"
2016,"Male","25_29",62189,11631474,"gonorrhea"
2016,"Male","15_19",89899,10801846,"chlamydia"
2017,"Male","15_19",1092,10800491,"primary and secondary syphilis"
2017,"Male","20_24",81036,11349142,"gonorrhea"
2017,"Male","30_34",4313,11089131,"primary and secondary syphilis"
2017,"Male","25_29",6033,11902230,"primary and secondary syphilis"
2017,"Male","30_34",47342,11089131,"gonorrhea"
2017,"Male","20_24",4728,11349142,"primary and secondary syphilis"
2017,"Male","35_44",55737,20369100,"chlamydia"
2017,"Male","25_29",127007,11902230,"chlamydia"
2017,"Male","30_34",65690,11089131,"chlamydia"
2017,"Male","35_44",48030,20369100,"gonorrhea"
2017,"Male","25_29",75123,11902230,"gonorrhea"
2017,"Male","15_19",99864,10800491,"chlamydia"
2017,"Male","15_19",34918,10800491,"gonorrhea"
2017,"Male","20_24",195971,11349142,"chlamydia"
2017,"Male","35_44",5150,20369100,"primary and secondary syphilis"
2018,"Male","20_24",5061,11201547,"primary and secondary syphilis"
2018,"Male","30_34",72222,11191871,"chlamydia"
2018,"Male","25_29",135059,12018838,"chlamydia"
2018,"Male","15_19",103582,10774908,"chlamydia"
2018,"Male","35_44",60431,20587600,"chlamydia"
2018,"Male","15_19",1175,10774908,"primary and secondary syphilis"
2018,"Male","30_34",5084,11191871,"primary and secondary syphilis"
2018,"Male","30_34",53362,11191871,"gonorrhea"
2018,"Male","20_24",81813,11201547,"gonorrhea"
2018,"Male","15_19",34614,10774908,"gonorrhea"
2018,"Male","20_24",202528,11201547,"chlamydia"
2018,"Male","25_29",80216,12018838,"gonorrhea"
2018,"Male","25_29",6625,12018838,"primary and secondary syphilis"
2018,"Male","35_44",5902,20587600,"primary and secondary syphilis"
2018,"Male","35_44",53108,20587600,"gonorrhea"
2019,"Male","20_24",5064,11201547,"primary and secondary syphilis"
2019,"Male","25_29",84207,12018838,"gonorrhea"
2019,"Male","15_19",1202,10774908,"primary and secondary syphilis"
2019,"Male","20_24",83278,11201547,"gonorrhea"
2019,"Male","35_44",6676,20587600,"primary and secondary syphilis"
2019,"Male","15_19",35402,10774908,"gonorrhea"
2019,"Male","25_29",6924,12018838,"primary and secondary syphilis"
2019,"Male","30_34",58749,11191871,"gonorrhea"
2019,"Male","15_19",108724,10774908,"chlamydia"
2019,"Male","30_34",78579,11191871,"chlamydia"
2019,"Male","35_44",58737,20587600,"gonorrhea"
2019,"Male","20_24",209635,11201547,"chlamydia"
2019,"Male","30_34",5725,11191871,"primary and secondary syphilis"
2019,"Male","25_29",140281,12018838,"chlamydia"
2019,"Male","35_44",67320,20587600,"chlamydia"
